"ticker", "cfo_name", "first_call_date", "last_call_date", "total_calls"
"A-N", "Adrian-Dillon", "2004-02-17", "2010-02-12", "25"
"A-N", "Didier-Hirsch", "2010-05-17", "2015-11-16", "23"
"AABA-OQ", "Neil-Dougherty", "2014-08-14", "2014-08-14", "1"
"AABA-OQ", "Blake-Jorgensen", "2007-07-17", "2009-04-21", "8"
"AABA-OQ", "Ken-Goldman", "2012-10-22", "2013-10-15", "5"
"AABA-OQ", "Susan-Decker", "2004-01-14", "2007-07-17", "14"
"AAL-OQ", "Tim-Morse", "2009-07-21", "2012-07-17", "13"
"AAL-OQ", "Bella-Goren", "2010-10-20", "2011-10-19", "5"
"AAL-OQ", "Derek-Kerr", "2014-01-28", "2015-10-23", "8"
"AAL-OQ", "James-Beer", "2004-01-21", "2006-01-18", "8"
"AAN-N", "Tom-Horton", "2006-04-19", "2010-04-21", "17"
"AAN-N", "Dave-Buck", "2014-02-07", "2014-02-07", "1"
"AAOI-OQ", "Gilbert-Danielson", "2004-02-25", "2015-10-30", "46"
"AAOI-OQ", "James-Dunn", "2013-11-07", "2014-05-08", "3"
"AAON-OQ", "Stefan-Murry", "2014-11-10", "2015-08-05", "4"
"AAON-OQ", "Kathy-Sheffield", "2004-02-11", "2012-08-08", "27"
"AAP-N", "Scott-Asbjornson", "2012-11-08", "2012-11-08", "1"
"AAP-N", "Jeff-Gray", "2004-02-18", "2005-11-03", "8"
"AAP-N", "Michael-Moore", "2006-02-16", "2007-11-01", "7"
"AAPL-OQ", "Mike-Norona", "2008-02-14", "2015-11-12", "32"
"AAPL-OQ", "Fred-Anderson", "2004-01-14", "2004-01-14", "1"
"AAPL-OQ", "Luca-Maestri", "2014-07-22", "2015-10-27", "6"
"AAT-N", "Peter-Oppenheimer", "2004-07-14", "2014-01-27", "38"
"AAWW-OQ", "Bob-Barton", "2011-05-11", "2015-11-04", "18"
"AAWW-OQ", "Jason-Grant", "2007-11-08", "2010-05-05", "11"
"AAWW-OQ", "Mike-Barna", "2005-09-22", "2007-08-08", "9"
"AAXN-OQ", "Spencer-Schwartz", "2010-08-03", "2015-11-05", "21"
"AAXN-OQ", "Dan-Behrendt", "2004-10-19", "2015-11-03", "38"
"ABAX-OQ", "Kathy-Hanrahan", "2004-02-03", "2004-02-03", "1"
"ABAX-OQ", "Alberto-Santa-Ines", "2004-07-22", "2015-04-30", "35"
"ABBN-S", "Ross-Taylor", "2015-07-23", "2015-10-27", "2"
"ABBV-N", "Eric-Elzvik", "2013-04-22", "2013-04-22", "1"
"ABC-N", "Bill-Chase", "2013-04-26", "2015-10-30", "9"
"ABC-N", "Mike-DiCandilo", "2004-04-26", "2012-01-26", "30"
"ABCB-OQ", "Tim-Guttman", "2012-04-26", "2015-10-29", "15"
"ABCW-OxE16", "Dennis-Zember", "2015-07-24", "2015-10-23", "2"
"ABG-N", "Bill-James", "2015-07-31", "2015-07-31", "1"
"ABG-N", "Craig-Monahan", "2008-07-30", "2011-04-27", "10"
"ABG-N", "Gordon-Smith", "2004-07-29", "2008-04-24", "14"
"ABG-N", "Keith-Style", "2014-02-04", "2015-10-21", "8"
"ABM-N", "Scott-Krenz", "2011-10-26", "2013-10-22", "9"
"ABM-N", "Anthony-Scaglione", "2015-06-03", "2015-12-09", "3"
"ABM-N", "George-Sundby", "2004-03-10", "2007-12-12", "14"
"ABM-N", "Jim-Lusk", "2008-06-03", "2015-03-04", "24"
"ABMD-OQ", "Joe-Franz", "2010-12-16", "2010-12-16", "1"
"ABMD-OQ", "Bob-Bowen", "2009-02-05", "2015-05-05", "25"
"ABMD-OQ", "Dan-Sutherby", "2006-02-02", "2008-08-07", "10"
"ABT-N", "Mike-Tomsicek", "2015-08-04", "2015-10-29", "2"
"ABT-N", "Brian-Yoor", "2015-07-22", "2015-10-21", "2"
"ABVT-KxG12", "Tom-Freyman", "2004-01-16", "2015-04-22", "47"
"ACAT-OxC17", "Joe-Ciavarella", "2009-05-12", "2012-02-28", "10"
"ACC-N", "Tim-Delmore", "2004-05-13", "2013-10-24", "37"
"ACC-N", "Brian-Nickel", "2005-11-01", "2007-10-31", "9"
"ACC-N", "Jon-Graf", "2008-08-05", "2014-02-13", "12"
"ACET-OQ", "Mark-Hager", "2004-11-11", "2004-11-11", "1"
"ACHC-OQ", "Douglas-Roth", "2004-09-10", "2015-09-11", "36"
"ACHC-OQ", "David-Duckworth", "2012-08-01", "2015-08-05", "10"
"ACHC-OQ", "Jack-Polson", "2012-03-08", "2012-04-27", "2"
"ACIW-OQ", "Paula-Wurts", "2005-11-14", "2011-05-10", "13"
"ACIW-OQ", "David-Bankhead", "2004-01-27", "2006-07-25", "10"
"ACIW-OQ", "Henry-Lyons", "2006-11-15", "2008-02-19", "5"
"ACLS-OQ", "Scott-Behrens", "2008-05-08", "2015-11-05", "30"
"ACLS-OQ", "Jay-Zager", "2011-04-27", "2012-11-01", "7"
"ACLS-OQ", "Kevin-Brewer", "2013-08-01", "2013-11-06", "2"
"ACM-N", "Stephen-Bassett", "2004-01-28", "2011-02-01", "24"
"ACM-N", "Mike-Burke", "2007-08-08", "2011-08-04", "17"
"ACM-N", "Steve-Kadenacy", "2011-11-10", "2015-08-11", "16"
"ACO-NxE14", "Troy-Rudd", "2015-11-10", "2015-11-10", "1"
"ACO-NxE14", "Don-Pearson", "2008-07-18", "2013-10-25", "22"
"ACOR-OQ", "Gary-Castagna", "2004-01-20", "2008-04-18", "17"
